source,algo,n_calls,total_time,min,max,mean
sp,write_dur_subvec,107,1.01763e+10,0,4.45465e+08,9.51059e+07
sp,write_subvec,352,3.63056e+10,0,4.04182e+08,1.03141e+08
sp,zstd,463,1.70325e+10,0,2.20822e+08,3.67873e+07
sp,write,11665,9.28786e+06,0,150604,796.216
sp,write_vector,152,8.09036e+10,0,5.11484e+09,5.32261e+08
sp,write_duration_vector,65,3.22493e+10,0,3.73441e+09,4.96142e+08
sp,write_dur_subvec,107,1.06203e+10,0,3.53465e+08,9.92551e+07
sp,write_subvec,356,3.46435e+10,0,3.11187e+08,9.73131e+07
sp,zstd,459,1.72443e+10,0,4.1836e+08,3.75692e+07
sp,write,11665,9.13473e+06,0,149723,783.088
sp,write_vector,148,8.40783e+10,0,5.92549e+09,5.68097e+08
sp,write_duration_vector,63,3.25296e+10,0,3.75969e+09,5.16343e+08
sp,write_dur_subvec,106,1.10919e+10,0,3.73163e+08,1.04641e+08
sp,write_subvec,353,3.85162e+10,0,4.63369e+08,1.09111e+08
sp,zstd,459,1.65538e+10,0,3.99768e+08,3.60649e+07
sp,write,11665,9.17094e+06,0,161844,786.193
sp,write_vector,156,7.92073e+10,0,5.61491e+09,5.07739e+08
sp,write_duration_vector,69,3.1838e+10,0,3.85921e+09,4.6142e+08
sp,write_dur_subvec,107,1.05241e+10,0,3.47431e+08,9.83559e+07
sp,write_subvec,352,3.42234e+10,0,5.37374e+08,9.72255e+07
sp,zstd,455,1.68673e+10,0,2.08198e+08,3.70709e+07
sp,write,11665,9.32155e+06,0,170974,799.104
sp,write_vector,158,8.17431e+10,0,4.36102e+09,5.17361e+08
